"Country"|"InstCode"|"CMSstatus"|"NameCMS"|"NamfCMS"|"lpc-fellows"|"lpc-all"
"USA"|"BAYLOR-UNIV"|"Yes"|"Hatakeyama"|"Kenichi"|"1"|"1"
"USA"|"BAYLOR-UNIV"|"Yes"|"Liu"|"Hongxuan"|"1"|"1"
"USA"|"BOSTON-UNIV"|"Yes"|"Avetisyan"|"Aram"|"1"|"1"
"USA"|"BOSTON-UNIV"|"Yes"|"Bose"|"Tulika"|"1"|"1"
"USA"|"BROWN-UNIV"|"Yes"|"Landsberg"|"Greg"|"1"|"1"
"USA"|"BROWN-UNIV"|"Yes"|"Narain"|"Meenakshi"|"1"|"1"
"USA"|"CALTECH"|"Yes"|"Apresyan"|"Artur"|"1"|"1"
"USA"|"CARNEGIE-MELLON"|"Yes"|"Paulini"|"Manfred"|"1"|"1"
"USA"|"CHICAGO"|"Yes"|"Varelas"|"Nikos"|"1"|"1"
"USA"|"CORNELL"|"Yes"|"Wittich"|"Peter"|"1"|"1"
"USA"|"FERMILAB"|"Yes"|"Hirschauer"|"James"|"1"|"1"
"USA"|"FERMILAB"|"Yes"|"Tran"|"Nhan Viet"|"1"|"1"
"USA"|"FLORIDA-STATE"|"Yes"|"Askew"|"Andrew"|"1"|"1"
"USA"|"FLORIDA-STATE"|"Yes"|"Weinberg"|"Marc"|"1"|"1"
"USA"|"FLORIDA-TECH"|"Yes"|"Yumiceva"|"Francisco"|"1"|"1"
"USA"|"FLORIDA-UNIV"|"Yes"|"Das"|"Souvik"|"1"|"1"
"USA"|"FLORIDA-UNIV"|"Yes"|"Konigsberg"|"Jacobo"|"1"|"1"
"USA"|"IOWA"|"Yes"|"Yi"|"Kai"|"1"|"1"
"USA"|"JOHNS-HOPKINS"|"Yes"|"Gritsan"|"Andrei"|"1"|"1"
"USA"|"KANSAS-STATE"|"Yes"|"Ivanov"|"Andrew"|"1"|"1"
"USA"|"KANSAS-STATE"|"Yes"|"Khalil"|"Sadia"|"1"|"1"
"USA"|"KANSAS-STATE"|"Yes"|"Maravin"|"Yurii"|"1"|"1"
"USA"|"NORTHWESTERN"|"Yes"|"Hahn"|"Kristan Allan"|"1"|"1"
"USA"|"NOTRE_DAME"|"Yes"|"Hildreth"|"Michael"|"1"|"1"
"USA"|"RUTGERS"|"Yes"|"Chou"|"John Paul"|"1"|"1"
"USA"|"RUTGERS"|"Yes"|"Gershtein"|"Yuri"|"1"|"1"
"USA"|"RUTGERS"|"Yes"|"Halkiadakis"|"Eva"|"1"|"1"
"USA"|"SUNY-BUFFALO"|"Yes"|"Dolen"|"James"|"1"|"1"
"USA"|"TEXAS-TAMU"|"Yes"|"Ulmer"|"Keith"|"1"|"1"
"USA"|"UCSB"|"Yes"|"Golf"|"Frank"|"1"|"1"
"USA"|"ALABAMA-UNIV"|"Yes"|"Cooper"|"Seth"|""|"1"
"USA"|"ALABAMA-UNIV"|"Yes"|"Rumerio"|"Paolo"|""|"1"
"USA"|"BAYLOR-UNIV"|"Yes"|"Call"|"Kenneth"|""|"1"
"USA"|"BAYLOR-UNIV"|"Yes"|"Smith"|"Caleb"|""|"1"
"USA"|"BAYLOR-UNIV"|"Yes"|"Dittmann"|"Jay"|""|"1"
"USA"|"BAYLOR-UNIV"|"Yes"|"Pastika"|"Nathaniel"|""|"1"
"USA"|"BOSTON-UNIV"|"Yes"|"Arcaro"|"Daniel"|""|"1"
"USA"|"BOSTON-UNIV"|"Yes"|"Rankin"|"Dylan"|""|"1"
"USA"|"BOSTON-UNIV"|"Yes"|"Richardson"|"Clint"|""|"1"
"USA"|"BOSTON-UNIV"|"Yes"|"Zou"|"David"|""|"1"
"USA"|"BOSTON-UNIV"|"Yes"|"Rohlf"|"James"|""|"1"
"USA"|"BOSTON-UNIV"|"Yes"|"Sulak"|"Lawrence"|""|"1"
"USA"|"BROWN-UNIV"|"Yes"|"Garabedian"|"Alex"|""|"1"
"USA"|"BROWN-UNIV"|"Yes"|"Hadley"|"Mary"|""|"1"
"USA"|"BROWN-UNIV"|"Yes"|"Hakala"|"John"|""|"1"
