"Country"|"InstCode"|"CMSstatus"|"NameCMS"|"NamfCMS"|"lpc-fellows"|"lpc-all"
"USA"|"ALABAMA-UNIV"|"Yes"|"Buccilli"|"Andrew"||1
"USA"|"ALABAMA-UNIV"|"Yes"|"Charaf"|"Otman"||1
"USA"|"ALABAMA-UNIV"|"Yes"|"Cooper"|"Seth"||1
"USA"|"ALABAMA-UNIV"|"Yes"|"Henderson"|"Conor"||1
"USA"|"ALABAMA-UNIV"|"Yes"|"Rumerio"|"`"||1
"USA"|"BAYLOR-UNIV"|"Yes"|"Borzou"|"Ahmad"||
"USA"|"BAYLOR-UNIV"|"Yes"|"Call"|"Kenneth"||
"USA"|"BAYLOR-UNIV"|"Yes"|"Dittmann"|"Jay"||1
"USA"|"BAYLOR-UNIV"|"Yes"|"Gunthoti"|"Kranti"||
"USA"|"BAYLOR-UNIV"|"Yes"|"Hatakeyama"|"Kenichi"|1|1
"USA"|"BAYLOR-UNIV"|"Yes"|"Kasmi"|"Azeddine"||1
"USA"|"BAYLOR-UNIV"|"Yes"|"Liu"|"Hongxuan"|1|1
"USA"|"BAYLOR-UNIV"|"No"|"Scarborough"|"Tara"||1
"USA"|"BAYLOR-UNIV"|"No"|"Turck"|"Kyle"||1
"USA"|"BAYLOR-UNIV"|"Yes"|"Wu"|"Zhenbin"||1
"USA"|"BOSTON-UNIV"|"Yes"|"Avetisyan"|"Aram"|1|1
"USA"|"BOSTON-UNIV"|"Yes"|"Bose"|"Tulika"|1|1
"USA"|"BOSTON-UNIV"|"Yes"|"Carrera Jarrin"|"Edgar"||1
"USA"|"BOSTON-UNIV"|"Yes"|"Fantasia"|"Cory"||1
"USA"|"BOSTON-UNIV"|"Yes"|"García Vera"|"Miguel Francisco"||
"USA"|"BOSTON-UNIV"|"Yes"|"Gastler"|"Daniel"||
"USA"|"BOSTON-UNIV"|"Yes"|"Gorodetzky"|"Philippe"||
"USA"|"BOSTON-UNIV"|"Yes"|"Gusev"|"Yuri"||
"USA"|"BOSTON-UNIV"|"Yes"|"Heister"|"Arno"||
"USA"|"BOSTON-UNIV"|"Yes"|"Lawson"|"Philip"||
"USA"|"BOSTON-UNIV"|"Yes"|"Lazic"|"Dragoslav"||
"USA"|"BOSTON-UNIV"|"Yes"|"Rankin"|"Dylan"||1
"USA"|"BOSTON-UNIV"|"Yes"|"Richardson"|"Clint"||1
"USA"|"BOSTON-UNIV"|"Yes"|"Rohlf"|"James"||
"USA"|"BOSTON-UNIV"|"Yes"|"Sperka"|"David"||1
"USA"|"BOSTON-UNIV"|"Yes"|"St. John"|"Jason"||1
"USA"|"BOSTON-UNIV"|"No"|"St. John"|"Jason"||1
"USA"|"BOSTON-UNIV"|"Yes"|"Sulak"|"Lawrence"||
"USA"|"BOSTON-UNIV"|"Yes"|"Zou"|"David"||
"USA"|"BROWN-UNIV"|"Yes"|"Alimena"|"Juliette"||
"USA"|"BROWN-UNIV"|"Yes"|"Bhattacharya"|"Saptaparna"||1
"USA"|"BROWN-UNIV"|"Yes"|"Christopher"|"Grant"||
"USA"|"BROWN-UNIV"|"Yes"|"Cutts"|"David"||
"USA"|"BROWN-UNIV"|"Yes"|"Demiragli"|"Zeynep"||
"USA"|"BROWN-UNIV"|"Yes"|"Ferapontov"|"Alexey"|1|1
"USA"|"BROWN-UNIV"|"Yes"|"Garabedian"|"Alex"||1
"USA"|"BROWN-UNIV"|"Yes"|"Heintz"|"Ulrich"||1
"USA"|"BROWN-UNIV"|"No"|"Jabeen"|"Shabnam"|1|1
"USA"|"BROWN-UNIV"|"No"|"Kukartsev"|"Gennadiy"|1|1
"USA"|"BROWN-UNIV"|"Yes"|"Laird"|"Edward"||
"USA"|"BROWN-UNIV"|"Yes"|"Landsberg"|"Greg"|1|1
"USA"|"BROWN-UNIV"|"No"|"Luk"|"Michael"||1
"USA"|"BROWN-UNIV"|"Yes"|"Mao"|"Zaixing"||
"USA"|"BROWN-UNIV"|"Yes"|"Narain"|"Meenakshi"|1|1
"USA"|"BROWN-UNIV"|"Yes"|"Rosenfield"|"Matt"||
"USA"|"BROWN-UNIV"|"Yes"|"Sinthuprasith"|"Tutanon"||1
"USA"|"BROWN-UNIV"|"Yes"|"Sirisky"|"Stephen"||
"USA"|"BROWN-UNIV"|"Yes"|"Speer"|"Thomas"||1
"USA"|"BROWN-UNIV"|"Yes"|"Swanson"|"Joshua"||
"USA"|"CALTECH"|"Yes"|"Anderson"|"Dustin"||1
"USA"|"CALTECH"|"Yes"|"Apresyan"|"Artur"|1|1
"USA"|"CALTECH"|"Yes"|"Bi"|"Feng"||
"USA"|"CALTECH"|"Yes"|"Bornheim"|"Adolf"||1
"USA"|"CALTECH"|"Yes"|"Chen"|"Yi"||1
"USA"|"CALTECH"|"Yes"|"Di Marco"|"Emanuele"||1
"USA"|"CALTECH"|"Yes"|"Du"|"Song Ming"||
"USA"|"CALTECH"|"Yes"|"Duarte"|"Javier"||1
"USA"|"CALTECH"|"Yes"|"Kcira"|"Dorian"||1
"USA"|"CALTECH"|"Yes"|"Litvine"|"Vladimir"||
"USA"|"CALTECH"|"Yes"|"Mott"|"Alexander"||1
"USA"|"CALTECH"|"Yes"|"Newman"|"Harvey B."||1
"USA"|"CALTECH"|"Yes"|"Pena"|"Cristian"||1
"USA"|"CALTECH"|"No"|"Rogan"|"Christopher"||1
"USA"|"CALTECH"|"Yes"|"Spiropulu"|"Maria"||1
"USA"|"CALTECH"|"Yes"|"Xie"|"Si"||1
"USA"|"CALTECH"|"Yes"|"Zhu"|"Ren-Yuan"||
"USA"|"CARNEGIE-MELLON"|"Yes"|"Azzolini"|"Virginia"||1
"USA"|"CARNEGIE-MELLON"|"Yes"|"Calamba"|"Aristotle"||1
"USA"|"CARNEGIE-MELLON"|"Yes"|"Carlson"|"Benjamin"||1
"USA"|"CARNEGIE-MELLON"|"Yes"|"Ferguson"|"Thomas"||
"USA"|"CARNEGIE-MELLON"|"Yes"|"Iiyama"|"Yutaro"||1
"USA"|"CARNEGIE-MELLON"|"No"|"Jang"|"Dong Wook"||1
"USA"|"CARNEGIE-MELLON"|"Yes"|"Paulini"|"Manfred"|1|1
"USA"|"CARNEGIE-MELLON"|"Yes"|"Russ"|"James"||1
"USA"|"CARNEGIE-MELLON"|"Yes"|"Sun"|"Menglei"||1
"USA"|"CARNEGIE-MELLON"|"Yes"|"Terentyev"|"Nikolay"||1
"USA"|"CARNEGIE-MELLON"|"Yes"|"Vogel"|"Helmut"||
"USA"|"CARNEGIE-MELLON"|"Yes"|"Vorobiev"|"Igor"||
"USA"|"CHICAGO"|"No"|"Adams"|"Mark Raymond"||1
"USA"|"CHICAGO"|"Yes"|"Apanasevich"|"Leonard"||1
"USA"|"CHICAGO"|"No"|"Bazterra"|"Victor Eduardo"||1
"USA"|"CHICAGO"|"Yes"|"Berry"|"Douglas"||1
"USA"|"CHICAGO"|"Yes"|"Betts"|"Russell Richard"||
"USA"|"CHICAGO"|"Yes"|"Bucinskaite"|"Inga"||1
"USA"|"CHICAGO"|"Yes"|"Cavanaugh"|"Richard"||1
"USA"|"CHICAGO"|"Yes"|"Evdokimov"|"Olga"||
"USA"|"CHICAGO"|"Yes"|"Gauthier"|"Lucie"||1
"USA"|"CHICAGO"|"Yes"|"Gerber"|"Cecilia Elena"||1
"USA"|"CHICAGO"|"Yes"|"Hofman"|"David Jonathan"||
"USA"|"CHICAGO"|"No"|"Khalatyan"|"Samvel"||1
"USA"|"CHICAGO"|"Yes"|"Kurt"|"Pelin"||
"USA"|"CHICAGO"|"Yes"|"Moon"|"Dong Ho"||
"USA"|"CHICAGO"|"Yes"|"O'Brien"|"Christine"||
"USA"|"CHICAGO"|"Yes"|"Sandoval Gonzalez"|"Irving Daniel"||1
"USA"|"CHICAGO"|"Yes"|"Silkworth"|"Christopher"||1
"USA"|"CHICAGO"|"Yes"|"Turner"|"Paul"||1
"USA"|"CHICAGO"|"Yes"|"Varelas"|"Nikos"|1|1
"USA"|"COLORADO"|"Yes"|"Cumalat"|"John Perry"||1
"USA"|"COLORADO"|"Yes"|"Drell"|"Brian Robert"||
